THE | 1,69;
EIL | 0,01;
URB | 0,01;
KGN | 0,01;
NOC | 0,01;
OAW | 0,01;
WIP | 0,01;
TGE | 0,01;
NWO | 0,01;
SWU | 0,01;
EDC | 0,01;
UIL | 0,01;
YLE | 0,01;
FTK | 0,01;
NEE | 0,01;
EOC | 0,01;
GIS | 0,01;
APO | 0,01;
LGI | 0,01;
LTO | 0,01;
UTL | 0,01;
SOV | 0,01;
OKH | 0,01;
DIC | 0,01;
AYG | 0,01;
SGR | 0,01;
POO | 0,01;
GGY | 0,01;
ISK | 0,01;
FJE | 0,01;
TAH | 0,01;
PUN | 0,01;
DOG | 0,01;
SHH | 0,01;
VIS | 0,01;
DEJ | 0,01;
GOU | 0,01;
URY | 0,01;
CCC | 0,01;
YME | 0,01;
NJA | 0,01;
JAC | 0,01;
DHU | 0,01;
WLE | 0,01;
WRU | 0,01;
RGL | 0,01;
BYA | 0,01;
ASR | 0,01;
OUV | 0,01;
FAH | 0,01;
SEM | 0,01;
CTO | 0,01;
FFF | 0,01;
HMA | 0,01;
IGB | 0,01;
EEF | 0,01;
WST | 0,01;
LUN | 0,01;
NYN | 0,01;
DOE | 0,01;
EGS | 0,01;
DBL | 0,01;
LFR | 0,01;
YTW | 0,01;
FNE | 0,01;
NVE | 0,01;
RUD | 0,01;
GOV | 0,01;
WSI | 0,01;
PYI | 0,01;
OYA | 0,01;
NYW | 0,01;
SGA | 0,01;
BOD | 0,01;
COV | 0,01;
KYA | 0,01;
FMR | 0,01;
QUE | 0,01;
BRE | 0,01;
IEX | 0,01;
AKY | 0,01;
RSB | 0,01;
OKO | 0,01;
RFL | 0,01;
LPH | 0,01;
MPS | 0,01;
YDO | 0,01;
SRI | 0,01;
URG | 0,01;
FWH | 0,01;
URM | 0,01;
IRF | 0,01;
AYR | 0,01;
EZE | 0,01;
GPR | 0,01;
AGT | 0,01;
GHN | 0,01;
CHL | 0,01;
CLU | 0,01;
KPA | 0,01;
UWO | 0,01;
EJO | 0,01;
MUN | 0,01;
IGT | 0,01;
BYM | 0,01;
SSC | 0,01;
DEI | 0,01;
PYH | 0,01;
ILK | 0,01;
ODW | 0,01;
ITJ | 0,01;
YFR | 0,01;
EWT | 0,01;
XIN | 0,01;
HTC | 0,01;
EOH | 0,01;
PSI | 0,01;
IQU | 0,01;
IWI | 0,01;
LIS | 0,01;
MSS | 0,01;
WEH | 0,01;
KFU | 0,01;
OPT | 0,01;
BJE | 0,01;
BAT | 0,01;
UFL | 0,01;
LFC | 0,01;
TEF | 0,01;
SFR | 0,01;
UAD | 0,01;
EVO | 0,01;
NTG | 0,01;
SOC | 0,01;
NKW | 0,01;
NEY | 0,01;
HOI | 0,01;
YIS | 0,01;
EIK | 0,01;
LFE | 0,01;
XAS | 0,01;
DMI | 0,01;
BAN | 0,01;
SIK | 0,01;
GWI | 0,01;
FLA | 0,01;
QUA | 0,01;
CID | 0,01;
CEW | 0,01;
IDA | 0,01;
SAG | 0,01;
DYS | 0,01;
YEY | 0,01;
FDO | 0,01;
RDN | 0,01;
RAM | 0,01;
TOI | 0,01;
TFA | 0,01;
NCY | 0,01;
NHO | 0,01;
ADG | 0,01;
TYC | 0,01;
KYI | 0,01;
RAY | 0,01;
DRA | 0,01;
VEP | 0,01;
DOZ | 0,01;
IES | 0,01;
ONM | 0,01;
MYN | 0,01;
POM | 0,01;
NOE | 0,01;
TFL | 0,01;
SKM | 0,01;
TSD | 0,01;
IGG | 0,01;
HSE | 0,01;
GSC | 0,01;
RME | 0,01;
MPF | 0,01;
MEV | 0,01;
FFA | 0,01;
HFR | 0,01;
XAM | 0,01;
YOD | 0,01;
STC | 0,01;
IDB | 0,01;
SOH | 0,01;
CRI | 0,01;
JUM | 0,01;
PWA | 0,01;
WOP | 0,01;
HOA | 0,01;
RTP | 0,01;
IMK | 0,01;
RSK | 0,01;
OWP | 0,01;
SIH | 0,01;
GBA | 0,01;
SPY | 0,01;
FEN | 0,01;
KSW | 0,01;
ISY | 0,01;
RLD | 0,01;
LKN | 0,01;
NYB | 0,01;
OYS | 0,01;
DFA | 0,01;
LKF | 0,01;
USF | 0,01;
OWM | 0,01;
ESB | 0,01;
AYN | 0,01;
LYV | 0,01;
EYF | 0,01;
WSY | 0,01;
ODF | 0,01;
HSI | 0,01;
DME | 0,01;
FFS | 0,01;
ALY | 0,01;
OAP | 0,01;
NXI | 0,01;
USS | 0,01;
YIH | 0,01;
PIE | 0,01;
RBU | 0,01;
UED | 0,01;
SCH | 0,01;
RTT | 0,01;
FUS | 0,01;
DYW | 0,01;
NYR | 0,01;
ARW | 0,01;
WIK | 0,01;
VIL | 0,01;
OYN | 0,01;
EPS | 0,01;
EKE | 0,01;
LUM | 0,01;
TSJ | 0,01;
IFW | 0,01;
YSU | 0,01;
RVI | 0,01;
LYG | 0,01;
ADR | 0,01;
ANX | 0,01;
NLO | 0,01;
OMC | 0,01;
ETY | 0,01;
RKS | 0,01;
HIR | 0,01;
NIP | 0,01;
POU | 0,01;
PSP | 0,01;
BON | 0,01;
LSF | 0,01;
RAB | 0,01;
XTW | 0,01;
FOL | 0,01;
ROZ | 0,01;
MCH | 0,01;
SVO | 0,01;
KSA | 0,01;
AYV | 0,01;
OCU | 0,01;
CUP | 0,01;
OGO | 0,01;
ODH | 0,01;
TNE | 0,01;
YER | 0,01;
UPH | 0,01;
DFR | 0,01;
OMY | 0,01;
NOG | 0,01;
CTE | 0,01;
HOC | 0,01;
EYN | 0,01;
IAD | 0,01;
IEW | 0,01;
WET | 0,01;
CSH | 0,01;
ILN | 0,01;
OKW | 0,01;
LFT | 0,01;
GUE | 0,01;
WEC | 0,01;
FEM | 0,01;
URV | 0,01;
GBO | 0,01;
NNE | 0,01;
NFI | 0,01;
DAU | 0,01;
ZEW | 0,01;
PFO | 0,01;
OAC | 0,01;
ILI | 0,01;
YBI | 0,01;
HTJ | 0,01;
RAC | 0,01;
LIA | 0,01;
ECU | 0,01;
KFO | 0,01;
SKI | 0,01;
EBI | 0,01;
LKS | 0,01;
REU | 0,01;
KEC | 0,01;
GLU | 0,01;
WOV | 0,01;
OJI | 0,01;
MMC | 0,01;
GUF | 0,01;
RDF | 0,01;
NYS | 0,01;
MPW | 0,01;
SAC | 0,01;
FSL | 0,01;
UNB | 0,01;
ARC | 0,01;
WSM | 0,01;
LYM | 0,01;
IJU | 0,01;
GAP | 0,01;
TPO | 0,01;
RCR | 0,01;
IPE | 0,01;
IPS | 0,01;
WEP | 0,01;
LUE | 0,01;
TBR | 0,01;
YFO | 0,01;
WRO | 0,01;
ASV | 0,01;
DCR | 0,01;
DTE | 0,01;
UNW | 0,01;
ELC | 0,01;
USY | 0,01;
KLO | 0,01;
ZEH | 0,01;
IMF | 0,01;
CHU | 0,01;
MEP | 0,01;
ALR | 0,01;
CUS | 0,01;
ELD | 0,01;
YSL | 0,01;
OWV | 0,01;
RLA | 0,01;
JEC | 0,01;
YOW | 0,01;
FFU | 0,01;
THY | 0,01;
WDM | 0,01;
HPU | 0,01;
PSM | 0,01;
DEC | 0,01;
GRY | 0,01;
MMO | 0,01;
NNA | 0,01;
KME | 0,01;
RIB | 0,01;
NSW | 0,01;
SUB | 0,01;
NTU | 0,01;
IRK | 0,01;
PST | 0,01;
MMR | 0,01;
YCR | 0,01;
PEE | 0,01;
NKH | 0,01;
YFU | 0,01;
YFE | 0,01;
EPQ | 0,01;
UIC | 0,01;
KLY | 0,01;
MFO | 0,01;
ARH | 0,01;
EWV | 0,01;
IAT | 0,01;
ROD | 0,01;
